127.0.0.1 - - [15/Jan/2019:13:45:57 +0000] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [15/Jan/2019:13:45:58 +0000] "GET /5inARowServer/ HTTP/1.1" 404 1022
127.0.0.1 - - [15/Jan/2019:13:46:13 +0000] "GET /5inARowServer/rest/game/reset HTTP/1.1" 204 -
127.0.0.1 - - [15/Jan/2019:13:46:13 +0000] "GET /5inARowServer/rest/game HTTP/1.1" 200 3688
127.0.0.1 - - [15/Jan/2019:13:46:13 +0000] "GET /5inARowServer/rest/game/whosturn HTTP/1.1" 200 96
127.0.0.1 - - [15/Jan/2019:13:46:16 +0000] "POST /5inARowServer/rest/game HTTP/1.1" 204 -
127.0.0.1 - - [15/Jan/2019:13:46:16 +0000] "GET /5inARowServer/rest/game/winner HTTP/1.1" 200 105
127.0.0.1 - - [15/Jan/2019:13:46:16 +0000] "GET /5inARowServer/rest/game HTTP/1.1" 200 3688
127.0.0.1 - - [15/Jan/2019:13:46:16 +0000] "GET /5inARowServer/rest/game/whosturn HTTP/1.1" 200 96
127.0.0.1 - - [15/Jan/2019:13:46:16 +0000] "POST /5inARowServer/rest/game HTTP/1.1" 204 -
127.0.0.1 - - [15/Jan/2019:13:46:16 +0000] "GET /5inARowServer/rest/game/winner HTTP/1.1" 200 105
127.0.0.1 - - [15/Jan/2019:13:46:16 +0000] "GET /5inARowServer/rest/game HTTP/1.1" 200 3688
127.0.0.1 - - [15/Jan/2019:13:46:16 +0000] "GET /5inARowServer/rest/game/whosturn HTTP/1.1" 200 96
127.0.0.1 - - [15/Jan/2019:13:46:17 +0000] "POST /5inARowServer/rest/game HTTP/1.1" 204 -
127.0.0.1 - - [15/Jan/2019:13:46:17 +0000] "GET /5inARowServer/rest/game/winner HTTP/1.1" 200 105
127.0.0.1 - - [15/Jan/2019:13:46:17 +0000] "GET /5inARowServer/rest/game HTTP/1.1" 200 3688
127.0.0.1 - - [15/Jan/2019:13:46:17 +0000] "GET /5inARowServer/rest/game/whosturn HTTP/1.1" 200 96
127.0.0.1 - - [15/Jan/2019:13:46:17 +0000] "POST /5inARowServer/rest/game HTTP/1.1" 204 -
127.0.0.1 - - [15/Jan/2019:13:46:17 +0000] "GET /5inARowServer/rest/game/winner HTTP/1.1" 200 105
127.0.0.1 - - [15/Jan/2019:13:46:17 +0000] "GET /5inARowServer/rest/game HTTP/1.1" 200 3688
127.0.0.1 - - [15/Jan/2019:13:46:17 +0000] "GET /5inARowServer/rest/game/whosturn HTTP/1.1" 200 96
127.0.0.1 - - [15/Jan/2019:13:46:18 +0000] "POST /5inARowServer/rest/game HTTP/1.1" 204 -
127.0.0.1 - - [15/Jan/2019:13:46:18 +0000] "GET /5inARowServer/rest/game/winner HTTP/1.1" 200 105
127.0.0.1 - - [15/Jan/2019:13:46:18 +0000] "GET /5inARowServer/rest/game HTTP/1.1" 200 3688
127.0.0.1 - - [15/Jan/2019:13:46:18 +0000] "GET /5inARowServer/rest/game/whosturn HTTP/1.1" 200 96
127.0.0.1 - - [15/Jan/2019:13:46:18 +0000] "POST /5inARowServer/rest/game HTTP/1.1" 204 -
127.0.0.1 - - [15/Jan/2019:13:46:18 +0000] "GET /5inARowServer/rest/game/winner HTTP/1.1" 200 105
127.0.0.1 - - [15/Jan/2019:13:46:18 +0000] "GET /5inARowServer/rest/game HTTP/1.1" 200 3688
127.0.0.1 - - [15/Jan/2019:13:46:18 +0000] "GET /5inARowServer/rest/game/whosturn HTTP/1.1" 200 96
127.0.0.1 - - [15/Jan/2019:13:46:26 +0000] "POST /5inARowServer/rest/game HTTP/1.1" 204 -
127.0.0.1 - - [15/Jan/2019:13:46:26 +0000] "GET /5inARowServer/rest/game/winner HTTP/1.1" 200 105
127.0.0.1 - - [15/Jan/2019:13:46:26 +0000] "GET /5inARowServer/rest/game HTTP/1.1" 200 3688
127.0.0.1 - - [15/Jan/2019:13:46:26 +0000] "GET /5inARowServer/rest/game/whosturn HTTP/1.1" 200 96
127.0.0.1 - - [15/Jan/2019:13:46:30 +0000] "POST /5inARowServer/rest/game HTTP/1.1" 204 -
127.0.0.1 - - [15/Jan/2019:13:46:30 +0000] "GET /5inARowServer/rest/game/winner HTTP/1.1" 200 105
127.0.0.1 - - [15/Jan/2019:13:46:30 +0000] "GET /5inARowServer/rest/game HTTP/1.1" 200 3688
127.0.0.1 - - [15/Jan/2019:13:46:30 +0000] "GET /5inARowServer/rest/game/whosturn HTTP/1.1" 200 96
127.0.0.1 - - [15/Jan/2019:13:46:31 +0000] "POST /5inARowServer/rest/game HTTP/1.1" 204 -
127.0.0.1 - - [15/Jan/2019:13:46:31 +0000] "GET /5inARowServer/rest/game/winner HTTP/1.1" 200 105
127.0.0.1 - - [15/Jan/2019:13:46:31 +0000] "GET /5inARowServer/rest/game HTTP/1.1" 200 3688
127.0.0.1 - - [15/Jan/2019:13:46:31 +0000] "GET /5inARowServer/rest/game/whosturn HTTP/1.1" 200 96
127.0.0.1 - - [15/Jan/2019:13:46:32 +0000] "POST /5inARowServer/rest/game HTTP/1.1" 204 -
127.0.0.1 - - [15/Jan/2019:13:46:32 +0000] "GET /5inARowServer/rest/game/winner HTTP/1.1" 200 105
127.0.0.1 - - [15/Jan/2019:13:46:32 +0000] "GET /5inARowServer/rest/game HTTP/1.1" 200 3688
127.0.0.1 - - [15/Jan/2019:13:46:32 +0000] "GET /5inARowServer/rest/game/whosturn HTTP/1.1" 200 96
127.0.0.1 - - [15/Jan/2019:13:46:34 +0000] "POST /5inARowServer/rest/game HTTP/1.1" 204 -
127.0.0.1 - - [15/Jan/2019:13:46:34 +0000] "GET /5inARowServer/rest/game/winner HTTP/1.1" 200 105
127.0.0.1 - - [15/Jan/2019:13:46:34 +0000] "GET /5inARowServer/rest/game HTTP/1.1" 200 3688
127.0.0.1 - - [15/Jan/2019:13:46:34 +0000] "GET /5inARowServer/rest/game/whosturn HTTP/1.1" 200 96
127.0.0.1 - - [15/Jan/2019:13:46:38 +0000] "POST /5inARowServer/rest/game HTTP/1.1" 204 -
127.0.0.1 - - [15/Jan/2019:13:46:38 +0000] "GET /5inARowServer/rest/game/winner HTTP/1.1" 200 105
127.0.0.1 - - [15/Jan/2019:13:46:38 +0000] "GET /5inARowServer/rest/game HTTP/1.1" 200 3688
127.0.0.1 - - [15/Jan/2019:13:46:38 +0000] "GET /5inARowServer/rest/game/whosturn HTTP/1.1" 200 96
127.0.0.1 - - [15/Jan/2019:13:46:40 +0000] "POST /5inARowServer/rest/game HTTP/1.1" 204 -
127.0.0.1 - - [15/Jan/2019:13:46:40 +0000] "GET /5inARowServer/rest/game/winner HTTP/1.1" 200 105
127.0.0.1 - - [15/Jan/2019:13:46:40 +0000] "GET /5inARowServer/rest/game HTTP/1.1" 200 3688
127.0.0.1 - - [15/Jan/2019:13:46:40 +0000] "GET /5inARowServer/rest/game/whosturn HTTP/1.1" 200 96
127.0.0.1 - - [15/Jan/2019:13:46:41 +0000] "POST /5inARowServer/rest/game HTTP/1.1" 204 -
127.0.0.1 - - [15/Jan/2019:13:46:41 +0000] "GET /5inARowServer/rest/game/winner HTTP/1.1" 200 105
127.0.0.1 - - [15/Jan/2019:13:46:41 +0000] "GET /5inARowServer/rest/game HTTP/1.1" 200 3688
127.0.0.1 - - [15/Jan/2019:13:46:41 +0000] "GET /5inARowServer/rest/game/whosturn HTTP/1.1" 200 96
